code,section,conflict_fr,econ_fr,humint_fr,morality_fr,politics,economy,crime,social_issues,intl_relations,sports,science_tech,disasters_accidents,freak_news,animals,other_soft_news
16491,internacional,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
25811,deportes,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
11738,internacional,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
972,magazine,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2059,nacional,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4784,nacional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35723,deportes,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
22030,internacional,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38480,deportes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22147,deportes,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2970,nacional,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3277,internacional,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
6481,nacional,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20157,magazine,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21979,economia,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
37752,deportes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
32963,nacional,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
27565,magazine,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
9178,economia,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
21233,nacional,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10398,internacional,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
38173,economia,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
19794,nacional,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13376,deportes,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
24363,nacional,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4353,magazine,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
30270,deportes,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
35616,magazine,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
4745,internacional,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
20544,deportes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23670,deportes,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1648,internacional,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
6660,nacional,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9179,economia,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
21257,deportes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
10133,internacional,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
25256,economia,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
20062,deportes,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21082,nacional,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21855,economia,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
7808,internacional,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
453,internacional,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36120,nacional,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
5702,deportes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4491,tendencias,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
18822,deportes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13534,nacional,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
26577,internacional,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
6210,internacional,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
36017,nacional,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19856,magazine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10424,nacional,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
22475,deportes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7120,nacional,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
21107,nacional,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
37887,nacional,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
18100,internacional,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21280,deportes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
36355,nacional,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
24382,internacional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18738,deportes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23994,nacional,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
25275,internacional,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20241,deportes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35930,nacional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6577,internacional,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
14922,nacional,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1558,deportes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34697,nacional,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
595,internacional,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37448,internacional,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
8539,economia,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
7518,internacional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5434,nacional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37866,magazine,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
37394,deportes,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
25274,internacional,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
32857,deportes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4655,economia,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3506,internacional,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
17658,economia,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
6128,magazine,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
8598,internacional,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
37369,deportes,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
14003,nacional,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
240,internacional,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
38511,magazine,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
18122,deportes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
985,magazine,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1364,nacional,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
2168,nacional,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
33573,deportes,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21987,economia,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
38506,deportes,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
6231,economia,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8973,economia,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
12394,nacional,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
10692,deportes,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
17167,deportes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7058,magazine,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
10870,internacional,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
31290,magazine,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9520,internacional,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
9949,deportes,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
18965,nacional,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10091,magazine,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
18964,nacional,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
35858,magazine,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
19665,internacional,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4851,deportes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22659,nacional,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
33375,deportes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33376,internacional,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
18751,deportes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30931,magazine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20308,nacional,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
21875,deportes,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1957,internacional,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
34728,internacional,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9458,economia,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
24361,deportes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
34442,internacional,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
404,internacional,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
11267,internacional,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
36463,deportes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29859,magazine,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
7033,deportes,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
23826,magazine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18332,internacional,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13566,nacional,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14675,internacional,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34821,nacional,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29426,magazine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1657,internacional,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
28190,nacional,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18287,deportes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6661,nacional,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37150,nacional,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
7203,deportes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21843,nacional,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
12601,nacional,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
7182,nacional,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
12045,internacional,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13819,internacional,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
27011,nacional,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
24805,nacional,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
18078,magazine,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
22290,nacional,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1524,internacional,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
10004,economia,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
18386,internacional,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2017,nacional,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18551,deportes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14964,nacional,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8066,nacional,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5606,nacional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32668,nacional,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
38925,deportes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5094,magazine,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
32247,tendencias,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
35409,deportes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22783,nacional,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
34965,internacional,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
14607,internacional,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
36923,nacional,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
17069,deportes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13637,deportes,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
26554,deportes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36917,economia,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
6827,deportes,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
7569,deportes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
17495,deportes,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27871,deportes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3460,internacional,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
16754,nacional,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
16730,internacional,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17422,nacional,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20994,internacional,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16704,internacional,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3252,nacional,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4037,internacional,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
674,nacional,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
10750,internacional,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
14564,nacional,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
16509,internacional,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
17127,nacional,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
19646,internacional,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
16105,magazine,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
11916,internacional,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
36836,nacional,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
144,internacional,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13998,internacional,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
14010,internacional,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
18083,tecnologia,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24814,deportes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19522,magazine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12259,nacional,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1615,economia,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
36148,internacional,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12814,economia,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37970,nacional,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
9209,internacional,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
36694,nacional,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
11437,nacional,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
11124,deportes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37651,deportes,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
15953,nacional,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
29124,nacional,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
8637,deportes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4158,deportes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35777,magazine,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
20216,nacional,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
34686,nacional,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
7266,internacional,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
35322,magazine,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
9110,internacional,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6179,internacional,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30604,internacional,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
20815,deportes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27890,deportes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11132,deportes,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1873,magazine,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
17413,internacional,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2374,magazine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39137,internacional,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
31376,nacional,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
15796,magazine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
967,internacional,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
12821,deportes,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
39160,magazine,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
7881,nacional,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
7071,internacional,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
11941,internacional,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
33979,deportes,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
27326,economia,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
12159,internacional,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
17103,deportes,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
11644,nacional,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8343,internacional,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1804,internacional,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16005,deportes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10483,internacional,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
743,nacional,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35924,magazine,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
19511,deportes,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15341,deportes,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
4827,economia,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
9154,internacional,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5980,internacional,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37853,nacional,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9914,nacional,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
10518,internacional,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
36560,magazine,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20482,magazine,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
5635,internacional,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
33856,internacional,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1589,internacional,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9181,magazine,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
14928,nacional,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
29218,magazine,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
31357,internacional,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
2812,magazine,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6623,economia,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
7557,internacional,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
36856,nacional,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6065,nacional,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
8698,nacional,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8339,internacional,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1926,deportes,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
14703,nacional,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1919,magazine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26266,deportes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4864,internacional,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
38725,nacional,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
13884,tendencias,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
9526,internacional,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
15208,deportes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1934,deportes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5968,internacional,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
14491,internacional,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
23326,economia,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1947,deportes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2546,nacional,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4053,deportes,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
13182,internacional,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
36522,nacional,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
36466,deportes,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
35558,deportes,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23151,nacional,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
16523,tecnologia,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
5764,deportes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35553,economia,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1298,nacional,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
